RoomID,Room,Building
DKH-206,206,David Kinley Hall
IL&IR-51,51,Inst Labor &  Industrial Rel
EB-162,162,Education Building
GH-205,205,Gregory Hall
IH-23,23,Illini Hall
TB-206,206,Transportation Building
TB-203,203,Transportation Building
EH-106B3,106B3,Engineering Hall
LL-147,147,Loomis Laboratory
BH-136,136,Burrill Hall
AH-141,141,Altgeld Hall
AH-341,341,Altgeld Hall
AH-443,443,Altgeld Hall
AH-145,145,Altgeld Hall
EH-106B6,106B6,Engineering Hall
PB-21,21,Psychology Building
HAB-137,137,Henry Administration Bldg
AH-314,314,Altgeld Hall
A-148,148,Armory
EB-303,303,English Building
OCCDPI-ARR,ARR,Oakton Com Coll Des Plaines IL
IC-ARR,ARR,Illini Center
EB-382,382,Education Building
SD&RP-2003,2003,Student Dining & Res Program
EB-210A,210A,Education Building
EB-333,333,Education Building
EB-192,192,Education Building
PB-31,31,Psychology Building
DH-121,121,Davenport Hall
NHB-2020,2020,Natural History Building
DH-220,220,Davenport Hall
DH-122,122,Davenport Hall
FLB-G52,G52,Foreign Languages Building
FLB-G3,G3,Foreign Languages Building
ISB-232,232,International Studies Building
MB-358,358,Music Building
FH-121A,121A,Freer Hall
MB-323,323,Music Building
KAM-ARR,ARR,Krannert Art Museum
IG&PAB-110,110,Inst Gov & Public Affairs Bldg
KCfPA-4501C,4501C,Krannert Center for Perf Arts
IC-C,C,Illini Center
GH-325,325,Gregory Hall
BH-286,286,Bevier Hall
BH-348,348,Bevier Hall
BH-358,358,Bevier Hall
BH-372,372,Bevier Hall
BH-292,292,Bevier Hall
BH-362,362,Bevier Hall
AESB-280,280,Agricultural Engr Sciences Bld
AESB-272,272,Agricultural Engr Sciences Bld
CH-7,7,Christopher Hall
BH-ARR,ARR,Bevier Hall
LARH-60,60,Lincoln Avenue Residence Hall
PLB-P-117,117,Pennsylvania Lounge Bld - PAR
PLB-P-111A,111A,Pennsylvania Lounge Bld - PAR
DH-137D,137D,Davenport Hall
NHB-3011,3011,Natural History Building
NHB-2049,2049,Natural History Building
DH-219,219,Davenport Hall
NHB-1022,1022,Natural History Building
FLB-1136,1136,Foreign Languages Building
LH-1060,1060,Lincoln Hall
ISB-101,101,International Studies Building
GH-317,317,Gregory Hall
PB-17,17,Psychology Building
GH-111,111,Gregory Hall
A-160,160,Armory
1WN-102,102,1205 W Nevada
CDL-109B,109B,Child Development Laboratory
CH-5,5,Christopher Hall
1WN-2023,2023,1010 W Nevada
AH-159,159,Altgeld Hall
DH-215,215,Davenport Hall
GH-318,318,Gregory Hall
PSL-1125,1125,Plant Sciences Laboratory
PSL-1303,1303,Plant Sciences Laboratory
NHB-2082,2082,Natural History Building
NHB-2090,2090,Natural History Building
NHB-3098,3098,Natural History Building
NHB-3100,3100,Natural History Building
NHB-3004,3004,Natural History Building
NHB-3002,3002,Natural History Building
NHB-4014,4014,Natural History Building
NHB-4002,4002,Natural History Building
NHB-4016,4016,Natural History Building
NHB-4072,4072,Natural History Building
NHB-2004,2004,Natural History Building
DCL-L440,L440,Digital Computer Laboratory
EH-406B1,406B1,Engineering Hall
LL-158,158,Loomis Laboratory
GH-9,9,Gregory Hall
AAS2-FAB LAB,FAB LAB,"Art-East Annex, Studio 2"
GSoL&I-46,46,Grad Sch of Lib & Info Science
GSoL&I-53,53,Grad Sch of Lib & Info Science
GSoL&I-126,126,Grad Sch of Lib & Info Science
GSoL&I-12A,12A,Grad Sch of Lib & Info Science
GSoL&I-242,242,Grad Sch of Lib & Info Science
GSoL&I-109,109,Grad Sch of Lib & Info Science
A-241,241,Armory
EB-259,259,English Building
RS-109,109,Richmond Studio
GH-1,1,Gregory Hall
GH-13,13,Gregory Hall
RS-103,103,Richmond Studio
A-172,172,Armory
CRCE-1048,1048,Campus Recreation Center East
F-FSB-38B,38B,FAR - Food Service Building
F-FSB-19,19,FAR - Food Service Building
IU-60,60,Illini Union
A&RC-GYM3,GYM3,Activities & Recreation Center
IA-111,111,Ice Arena
A&RC-INDR POOL,INDR POOL,Activities & Recreation Center
A&RC-GYM2,GYM2,Activities & Recreation Center
CRCE-1003,1003,Campus Recreation Center East
FH-224,224,Freer Hall
CRCE-MAC GYM,MAC GYM,Campus Recreation Center East
MH-200,200,Mumford Hall
THBH-18,18,Temple Hoyne Buell Hall
THBH-327,327,Temple Hoyne Buell Hall
THBH-219,219,Temple Hoyne Buell Hall
THBH-325,325,Temple Hoyne Buell Hall
PSL-1305,1305,Plant Sciences Laboratory
THBH-319,319,Temple Hoyne Buell Hall
PB-207,207,Psychology Building
LL-143,143,Loomis Laboratory
SD&RP-2050,2050,Student Dining & Res Program
IL&IR-43,43,Inst Labor &  Industrial Rel
IL&IR-53,53,Inst Labor &  Industrial Rel
IL&IR-ARR,ARR,Inst Labor &  Industrial Rel
1WO-133,133,1207 W Oregon
S&HSB-110,110,Speech & Hearing Science Bldg
IH-7,7,Illini Hall
IH-14,14,Illini Hall
AH-241,241,Altgeld Hall
AH-343,343,Altgeld Hall
IH-1,1,Illini Hall
IH-2,2,Illini Hall
AH-173,173,Altgeld Hall
AH-447,447,Altgeld Hall
AH-345,345,Altgeld Hall
AH-441,441,Altgeld Hall
BH-242,242,Burrill Hall
BH-105,105,Burrill Hall
BH-6,6,Burrill Hall
BH-413,413,Burrill Hall
BH-ARR,ARR,Burrill Hall
BH-215,215,Burrill Hall
BH-231,231,Burrill Hall
BH-230,230,Burrill Hall
BH-106,106,Burrill Hall
BH-182,182,Burrill Hall
BH-186,186,Burrill Hall
BH-485C,485C,Burrill Hall
BH-107,107,Burrill Hall
BH-216,216,Burrill Hall
BH-246,246,Burrill Hall
BH-5,5,Burrill Hall
BH-488,488,Burrill Hall
BH-495C,495C,Burrill Hall
CaLSL-B124,B124,Chemical and Life Sci Lab
CaLSL-B126,B126,Chemical and Life Sci Lab
BI-ARR,ARR,Beckman Institute
BI-3269,3269,Beckman Institute
MEL-1009,1009,Mechanical Engineering Lab
MEL-1318,1318,Mechanical Engineering Lab
TL-126,126,Talbot Laboratory
OP&EL-115,115,Optical Physics & Eng Lab
E&CEB-3073,3073,Electrical & Computer Eng Bldg
MEL-2001,2001,Mechanical Engineering Lab
MEB-102,102,Mechanical Engineering Bldg
TB-302,302,Transportation Building
MEB-213A,213A,Mechanical Engineering Bldg
ESB-190,190,Engineering Sciences Building
A-133,133,Armory
A-100,100,Armory
A-300,300,Armory
CKH-105,105,Ceramics Kiln House
CKH-122,122,Ceramics Kiln House
CB-216,216,Ceramics Building
CKH-204,204,Ceramics Kiln House
CKH-124,124,Ceramics Kiln House
CB-113,113,Ceramics Building
MB-357,357,Music Building
MB-325,325,Music Building
MB-303,303,Music Building
SMH-106,106,Smith Memorial Hall
SMH-25,25,Smith Memorial Hall
MB-359,359,Music Building
MB-4033,4033,Music Building
MB-1030,1030,Music Building
MB-320,320,Music Building
SMH-220,220,Smith Memorial Hall
MB-304,304,Music Building
MB-356,356,Music Building
MB-61,61,Music Building
MB-354,354,Music Building
SMH-6,6,Smith Memorial Hall
SMH-103,103,Smith Memorial Hall
SMH-101,101,Smith Memorial Hall
SMH-11,11,Smith Memorial Hall
SMH-,,Smith Memorial Hall
SMH-2,2,Smith Memorial Hall
SMH-100,100,Smith Memorial Hall
SMH-108,108,Smith Memorial Hall
SMH-5E,5E,Smith Memorial Hall
SMH-5B,5B,Smith Memorial Hall
SMH-ARR,ARR,Smith Memorial Hall
SMH-5D,5D,Smith Memorial Hall
SMH-5C,5C,Smith Memorial Hall
ARH-155,155,Allen Residence Hall
ARH-ARR,ARR,Allen Residence Hall
ARH-,,Allen Residence Hall
MB-302,302,Music Building
MB-4058,4058,Music Building
SMH-211,211,Smith Memorial Hall
SMH-114,114,Smith Memorial Hall
SMH-205,205,Smith Memorial Hall
SMH-209,209,Smith Memorial Hall
SMH-112,112,Smith Memorial Hall
SMH-207,207,Smith Memorial Hall
SMH-200B,200B,Smith Memorial Hall
SMH-210,210,Smith Memorial Hall
SMH-200A,200A,Smith Memorial Hall
SMH-200,200,Smith Memorial Hall
MB-3052,3052,Music Building
SMH-216,216,Smith Memorial Hall
MB-3040,3040,Music Building
MB-3032,3032,Music Building
MB-ARR,ARR,Music Building
